127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000171
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002351
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002194
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000165
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000386
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000386
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000305
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000285
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/default/second, HTTP/1.1, 200, 0.019912
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000377
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.000795
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000481
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000281
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001233
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000907
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000724
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000354
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000360
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000525
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000278
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.001180
